"","SPECIES","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREY","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREY"
"1","Accipiter nisus",9744,48,32,0,11661,74,55,0
"2","Acrocephalus schoenobaenus",0,242,0,0,0,344,0,0
"3","Actitis hypoleucos",0,134,0,0,0,258,0,0
"4","Aegithalos caudatus",0,536,0,0,0,668,0,0
"5","Alauda arvensis",0,2201,0,0,0,3272,0,0
"6","Alcedo atthis",0,4,0,0,0,6,0,0
"7","Anas crecca",0,404,0,0,0,626,0,0
"8","Anas platyrhynchos",0,237,0,0,0,372,0,0
"9","Anser anser",0,30,0,0,0,58,0,0
"10","Anser brachyrhynchus",0,6,0,0,0,12,0,0
"11","Anthus petrosus",0,303,0,0,0,408,0,0
"12","Anthus pratensis",0,2003,0,0,0,2946,0,0
"13","Anthus trivialis",0,2355,0,0,0,3618,0,0
"14","Apodemus sylvaticus",0,1784,0,0,0,2441,0,0
"15","Apus apus",0,461,0,0,0,683,0,0
"16","Aquila chrysaetos",3897,0,40,0,4598,0,56,0
"17","Ardea cinerea",6985,32,0,0,7756,61,0,0
"18","Arenaria interpres",0,50,0,0,0,75,0,0
"19","Arvicola amphibius",0,1548,0,0,0,2125,0,0
"20","Asio flammeus",5136,57,0,0,6294,88,0,0
"21","Asio otus",15382,46,38,0,18591,72,61,0
"22","Aythya ferina",0,292,0,0,0,458,0,0
"23","Aythya fuligula",0,260,0,0,0,412,0,0
"24","Aythya marila",0,42,0,0,0,72,0,0
"25","Bucephala clangula",0,63,0,0,0,116,0,0
"26","Buteo buteo",9134,11,577,0,10863,18,686,0
"27","Calidris alpina",0,88,0,0,0,134,0,0
"28","Calidris canutus",0,35,0,0,0,46,0,0
"29","Calidris maritima",0,107,0,0,0,172,0,0
"30","Capreolus capreolus",0,54,0,0,0,76,0,0
"31","Carduelis carduelis",0,2146,0,0,0,2827,0,0
"32","Certhia familiaris",0,425,0,0,0,621,0,0
"33","Cervus elaphus",0,74,0,0,0,101,0,0
"34","Charadrius hiaticula",0,96,0,0,0,142,0,0
"35","Cinclus cinclus",0,91,0,0,0,154,0,0
"36","Circus cyaneus",4436,72,0,0,5941,108,0,0
"37","Clangula hyemalis",0,4,0,0,0,16,0,0
"38","Columba livia",0,557,0,0,0,835,0,0
"39","Columba palumbus",0,700,0,0,0,1025,0,0
"40","Corvus corax",9213,9,26,0,11123,17,44,0
"41","Corvus corone",15707,746,17,0,20236,1192,28,0
"42","Corvus frugilegus",7608,79,2,0,8653,136,4,0
"43","Corvus monedula",12872,290,25,0,15618,465,41,0
"44","Coturnix coturnix",0,376,0,0,0,524,0,0
"45","Cuculus canorus",0,431,0,0,0,591,0,0
"46","Cygnus cygnus",0,10,0,0,0,18,0,0
"47","Cygnus olor",0,4,0,0,0,9,0,0
"48","Dama dama",0,143,0,0,0,189,0,0
"49","Delichon urbicum",0,326,0,0,0,493,0,0
"50","Dendrocopos major",1147,350,0,2613,1323,490,0,3035
"51","Emberiza citrinella",0,1163,0,0,0,1649,0,0
"52","Emberiza schoeniclus",0,1070,0,0,0,1579,0,0
"53","Eremophila alpestris",0,947,0,0,0,1242,0,0
"54","Erinaceus europaeus",3651,298,0,0,3989,480,0,0
"55","Erithacus rubecula",0,966,0,0,0,1324,0,0
"56","Falco columbarius",7436,88,412,0,10054,135,472,0
"57","Falco peregrinus",11913,23,645,0,14875,40,726,0
"58","Falco tinnunculus",11354,37,0,0,13365,67,0,0
"59","Felis silvestris",3904,4,12,0,4765,10,23,0
"60","Fringilla coelebs",0,1356,0,0,0,1861,0,0
"61","Fringilla montifringilla",0,996,0,0,0,1369,0,0
"62","Fulica atra",0,380,0,0,0,592,0,0
"63","Gallinago gallinago",0,167,0,0,0,286,0,0
"64","Gallinula chloropus",0,429,0,0,0,670,0,0
"65","Haliaeetus albicilla",565,0,132,0,797,0,162,0
"66","Hirundo rustica",0,264,0,0,0,393,0,0
"67","Lagopus lagopus",0,150,0,0,0,190,0,0
"68","Lagopus muta",0,62,0,0,0,93,0,0
"69","Lanius excubitor",7979,100,0,0,9782,132,0,0
"70","Lepus europaeus",0,569,0,0,0,708,0,0
"71","Lepus timidus",0,156,0,0,0,198,0,0
"72","Limosa lapponica",0,9,0,0,0,19,0,0
"73","Locustella naevia",0,2211,0,0,0,2665,0,0
"74","Loxia curvirostra",0,640,0,0,0,851,0,0
"75","Loxia scotica",0,0,0,0,0,0,0,0
"76","Lutra lutra",1065,36,0,0,1552,52,0,0
"77","Lymnocryptes minimus",0,95,0,0,0,159,0,0
"78","Martes martes",10705,19,1078,0,12857,32,1240,0
"79","Melanitta fusca",0,16,0,0,0,28,0,0
"80","Melanitta nigra",0,5,0,0,0,34,0,0
"81","Meles meles",6558,13,0,0,7421,25,0,0
"82","Mergus serrator",50,6,0,273,65,18,0,360
"83","Microtus agrestis",0,2160,0,0,0,2885,0,0
"84","Milvus milvus",5831,6,42,0,7075,13,43,0
"85","Motacilla alba",0,1420,0,0,0,1995,0,0
"86","Motacilla cinerea",0,2412,0,0,0,3568,0,0
"87","Muscicapa striata",0,1346,0,0,0,1899,0,0
"88","Mustela erminea",5692,34,1,0,6567,57,4,0
"89","Mustela nivalis",9923,584,4,0,11543,858,7,0
"90","Myodes glareolus",0,1638,0,0,0,2256,0,0
"91","Myotis daubentonii",0,719,0,0,0,1090,0,0
"92","Myotis nattereri",0,2165,0,0,0,2514,0,0
"93","Neomys fodiens",0,7819,0,0,0,9589,0,0
"94","Numenius arquata",741,57,0,0,925,103,0,0
"95","Numenius phaeopus",0,7,0,0,0,12,0,0
"96","Oenanthe oenanthe",0,568,0,0,0,874,0,0
"97","Oryctolagus cuniculus",0,696,0,0,0,841,0,0
"98","Pandion haliaetus",33,2,0,0,42,2,0,0
"99","Parus major",960,696,0,346,1144,922,0,551
"100","Passer domesticus",0,1295,0,0,0,1766,0,0
"101","Passer montanus",0,1446,0,0,0,1980,0,0
"102","Perdix perdix",0,563,0,0,0,819,0,0
"103","Phalaropus lobatus",0,0,0,0,0,0,0,0
"104","Phasianus colchicus",0,245,0,0,0,349,0,0
"105","Phoenicurus phoenicurus",0,1154,0,0,0,1598,0,0
"106","Phylloscopus collybita",0,1661,0,0,0,2377,0,0
"107","Phylloscopus sibilatrix",0,579,0,0,0,846,0,0
"108","Phylloscopus trochilus",0,472,0,0,0,650,0,0
"109","Pica pica",10544,128,38,0,12431,223,59,0
