"","SPECIES","NUMBER OF SQUARE GRIDS AT START","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER START TO PRIMARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY TO SECONDARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER SECONDARY TO PRIMARY FUTURE","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY FUTURE TO SECONDARY FUTURE"
"537","Sitta krueperi",24,24,24,24,24
"538","Microtus tatricus",24,24,24,24,24
"539","Diplomesodon pulchellum",6,6,6,6,6
"540","Spalax giganteus",22,22,22,22,22
"541","Hippolais languida",1,1,1,1,1
"542","Irania gutturalis",1,1,1,1,1
"543","Rousettus aegyptiacus",1,1,1,1,1
"544","Acomys minous",12,12,12,12,12
"545","Crocidura zimmermanni",12,12,12,12,12
"546","Myomimus roachi",13,13,13,13,13
"547","Microtus bavaricus",2,2,2,2,2
"548","Lynx pardinus",11,11,11,11,11
"549","Emberiza cineracea",7,7,7,7,7
"550","Bison bonasus",8,8,8,8,8
"551","Charadrius leschenaultii",3,3,3,3,3
"552","Atelerix algirus",2,2,2,2,2
"553","Tetraogallus caspius",1,1,1,1,1
"554","Francolinus francolinus",1,1,1,1,1
